composition,phases,HV,yield_strength_MPa,ref,source
Al0.25Co1Fe1Ni1,FCC,138.0,158.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Fe1Ni1,FCC+BCC,212.0,346.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.75Co1Fe1Ni1,FCC+BCC,385.0,794.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Fe1Ni1,BCC,456.0,964.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Ni1,FCC,125.0,204.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Ni1,FCC,125.0,209.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Ni1Si0.25,FCC,149.0,196.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Ni1Si0.5,FCC+BCC,287.0,476.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Fe1Ni1Si0.75,FCC+BCC,570.0,1301.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Nb0.103Ni1,FCC+BCC,,318.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Nb0.155Ni1,FCC+BCC,,322.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Nb0.206Ni1,FCC+BCC,,403.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Nb0.309Ni1,FCC+BCC,,479.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Nb0.412Ni1,FCC+BCC,,638.0,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Ni1,FCC,,148.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Fe1Mo0.5Ni1,FCC+BCC,425.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.667Cr0.667Fe0.667Mo0.333Ni0.667,FCC+BCC,655.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.5Cr0.5Fe0.5Mo0.25Ni0.5,FCC+BCC,605.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.5Ni1,FCC+BCC,715.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Mo0.5Ni1,FCC+BCC,210.0,,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Co1Cr1Fe1Ni1Ti1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.667Cr0.667Fe0.667Ni0.667Ti0.667,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.5Cr0.5Fe0.5Ni0.5Ti0.5,FCC+BCC,643.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1Ti1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Fe1Ni1Ti1,FCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.667Cr0.667Fe0.667Ni0.667,BCC,402.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.4Cr0.4Fe0.4Ni0.4,BCC,487.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.5Cr0.5Fe0.5Ni0.5,BCC,432.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co0.333Cr0.333Fe0.333Ni0.333,BCC,506.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,BCC,395.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Cr1Cu1Fe1Ni1,FCC+BCC,342.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cr1Cu1Fe1Ni1,FCC,286.0,,Kaggle-HEA-Dataset-2024,kaggle
Cr1Cu1Fe1Mn1Ni1,FCC+BCC,296.0,,Kaggle-HEA-Dataset-2024,kaggle
Cr1Cu1Fe1Mo1Ni1,FCC,263.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,BCC,,1251.0,Kaggle-HEA-Dataset-2024,kaggle
Al1C0.1Co1Cr1Fe1Ni1,FCC+BCC,,957.0,Kaggle-HEA-Dataset-2024,kaggle
Al1C0.2Co1Cr1Fe1Ni1,FCC+BCC,,906.0,Kaggle-HEA-Dataset-2024,kaggle
Al1C0.3Co1Cr1Fe1Ni1,FCC+BCC,,867.0,Kaggle-HEA-Dataset-2024,kaggle
Al1C0.4Co1Cr1Fe1Ni1,FCC+BCC,,1056.0,Kaggle-HEA-Dataset-2024,kaggle
Al1C0.5Co1Cr1Fe1Ni1,FCC+BCC,,1060.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.667C1Co0.667Cr0.667Fe0.667Ni0.667,FCC+BCC,,1255.0,Kaggle-HEA-Dataset-2024,kaggle
Al1C1Co1Cr1Fe1Ni1,FCC+BCC,,1251.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,BCC,,1138.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.1Ni1,BCC,,1804.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.2Ni1,FCC+BCC,,2456.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.3Ni1,FCC+BCC,,2649.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.4Ni1,FCC+BCC,,2670.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Mo0.5Ni1,FCC+BCC,,2757.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Ni1,BCC,,1051.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Fe1Nb0.1Ni1,BCC,569.0,1641.0,Kaggle-HEA-Dataset-2024,kaggle
